code,product_type
C000B76EAZUL,sambal
C00186595IE3,sambal
C001B28E375U,sambal
C001C7DB3NW5,sambal
C001E3012C9W,sambal
C0032C419NVD,sambal
C003455E4T0Y,sambal
C003677E8QHL,sambal
C0036CE554G1,sambal
C0044B76178J,sambal
C004507E86S8,sambal
C004DB6225PJ,sambal
C0052CE58SBT,sambal
C0053AFA9HY6,sambal
C00601FE6VIS,sambal
C006AF7D27V1,sambal
C006BC4ADD73,sambal
C0078E48AOE4,sambal
C007F14F9M3L,sambal
C0083A2BCFSG,sambal
C0093322CCGO,sambal
C0093672F1OR,sambal
C009415DBM1Y,sambal
C00A63C49JKW,sambal
C00ADF6ECDB4,sambal
C00B10387MJC,sambal
C00B313DBTSJ,sambal
C00B648D3H7R,sambal
C00C3D5ADKQ5,sambal
C00CB16284AQ,sambal
C00E4211BBJ7,sambal
C00E773CBV47,sambal
C00F5FEA1LZW,sambal
C00FF0E44U2R,sambal
C00FF3957HHT,sambal
C01026B0FTN1,sambal
C01076ED17GM,sambal
C010C7F20WOK,sambal
C010E26789NW,sambal
C0111FCF02DL,sambal
C0112D7C3DFL,sambal
C0126E11D6YE,sambal
C012C8F4E3S9,sambal
C0134ED91U74,sambal
C01368D77PSE,sambal
C0136956079I,sambal
C013F6F5FTZW,sambal
C014EB98AOU7,sambal
C014FC9A94AF,sambal
C01591436SDK,sambal
C016027E14HC,sambal
C01718320NHP,sambal
C017B25A4BXH,sambal
C017EF1A9GO3,sambal
C01816E2DNS2,sambal
C01878EC5MKG,sambal
C018A1F1ASEO,sambal
C018FEDCCHRJ,sambal
C01907DE7JJ1,sambal
C01910E04FGJ,sambal
C0197A4B1DX6,sambal
C01984CF00K3,sambal
C01A9DB36TCJ,sambal
C01AB4624YEB,sambal
C01BB7914TPI,sambal
C01C2E7875VB,sambal
C01C4A1C498W,sambal
C01CA12218T8,sambal
C01D09339FKU,sambal
C01D5601BXTZ,sambal
C01D7F61E83J,sambal
C01EDAD783ZT,sambal
C01EFF96BCCC,sambal
C01FE8DE8F52,sambal
C02033CE0R8N,sambal
C0204B307FGT,sambal
C02083AB9PF1,sambal
C0209AEA2IDN,sambal
C020FC4D5TV9,sambal
C0217BD3995T,sambal
C021B4290V33,sambal
C021BB48BGFO,sambal
C0220E3B5GSP,sambal
C0223B8C2GBW,sambal
C0223F314S6V,sambal
C0225B1E32C8,sambal
C0228D30916D,sambal
C02537730BS2,sambal
C026209B2T3L,sambal
C0267D763GC1,sambal
C0278A0BCO8C,sambal
C028C5CEEFSE,sambal
C0291B2F45M2,sambal
C0299AC29QP7,sambal
C02A0A374D47,sambal
C02AA0BFCLOE,sambal
C02B46248E1M,sambal
C02B9886ANNV,sambal
C02BBE878AVB,sambal
C02C4DAD8L7A,sambal
C02C886D4VC8,sambal
C02C9BABCMVB,sambal
C02CB1E71PLM,sambal
C02D0035150Q,sambal
C02D59EB48JT,sambal
C02E0FB29CCQ,sambal
C02E569EBNHP,sambal
C02EF0B7531E,sambal
C02F1A71A57B,sambal
C02F2B9B73LW,sambal
C02F3FD64UY3,sambal
C02F846A4KKZ,sambal
C02FF57FFLAY,sambal
C0307D840GUO,sambal
C0308E0918VP,sambal
C0315DF15HRG,sambal
C031BF448EHM,sambal
C031EEFE8ZKX,sambal
C0321C5F8AOP,sambal
C0329B38D7KU,sambal
C032A4F31RL3,sambal
C032D36C1HF0,sambal
C034EDAF1IET,sambal
C034F2B60UHT,sambal
C0364DAB2TBX,sambal
C03656595PQ9,sambal
C036A0830A06,sambal
C036DA378KEG,sambal
C037823DFWK3,sambal
C037C2E2BR73,sambal
C037D0F5881N,sambal
C0387D3CCQEY,sambal
C03919AEB3QK,sambal
C03929113LBJ,sambal
